grid_latitude,grid_longitude,runoff_value,runoff_coefficient,elevation_m,drainage_density_km_per_km2,total_population,slope
28.562501,77.0625,0.4849290921808511,0.3907416775447223,228.0,0.4663924548834229,419626.0,0.0029038384125077
28.562501,77.075,0.5154787388693853,0.3186008910726159,219.0,0.8813441557057682,207424.0,0.0071076222133126
28.562501,77.0875,0.6102143697670217,0.0948895339638052,211.0,2.5922951717690457,194990.0,0.0025597068884632
28.562501,77.1,0.5544651465065011,0.2265373023398778,225.0,2.8890624046351814,194990.0,0.0081970065939822
28.562501,77.1125,0.619181191317625,0.0737150318358205,231.0,1.970020410782132,194990.0,0.0065611489428234
28.562501,77.125,0.5156028518528368,0.318307807217052,241.0,0.0,194990.0,0.0067813623742647
28.562501,77.1375,0.454187364927896,0.4633360484109332,246.0,0.0,77340.0,0.0092646460665046
28.562501,77.15,0.4260904367825059,0.5296849170091238,260.0,0.0,50368.0,0.0050971586178635
28.562501,77.1625,0.4959840572570921,0.3646361751422667,244.0,0.6481868874638355,50368.0,0.010060706589718
28.562501,77.175,0.4862115981300236,0.3877131322796411,236.0,1.0631944742994386,24857.0,0.0116148554108934
28.562501,77.1875,0.5012086437949173,0.3522986909915339,225.0,1.008040056171239,24857.0,0.0070437454794228
28.562501,77.2,0.5191844130248227,0.3098502089220777,219.0,0.927885886205549,12864.0,0.0030436702843282
28.562501,77.2125,0.5283215292204492,0.2882735682767732,219.0,0.7903053993762293,37288.0,0.0037976787186621
28.562501,77.225,0.5115396135579197,0.3279028512844166,222.0,0.2124209959134631,46748.0,0.0043122386190457
28.562501,77.2375,0.5253368956152482,0.2953215651916143,219.0,0.6142547732764719,37629.0,0.0033086393524669
28.562501,77.25,0.5375566109678986,0.2664655890491363,218.0,0.0479144034329042,37629.0,0.0165505201754161
28.575001,76.85,0.40000001,0.5912955774096351,212.0,0.3848787760625785,1645532.0,0.0007187064365076
28.575001,76.8625,0.40000001,0.5912955774096351,212.0,0.8981561066399807,1645532.0,0.0007187064365076
28.575001,76.875,0.40000001,0.5912955774096351,212.0,0.1682908727657137,1645532.0,0.0007187064365076
28.575001,76.8875,0.40000001,0.5912955774096351,212.0,0.0,1645532.0,0.0007187064365076
28.575001,76.9,0.40000001,0.5912955774096351,212.0,0.0,1645532.0,0.0007187064365076
28.575001,76.9125,0.40000001,0.5912955774096351,212.0,0.0,1645532.0,0.0007187064365076
28.575001,76.925,0.40000001,0.5912955774096351,212.0,0.0,1645532.0,0.0007187064365076
28.575001,76.9375,0.40000001,0.5912955774096351,212.0,0.0,1645532.0,0.0007187064365076
28.575001,76.95,0.40000001,0.5912955774096351,212.0,0.1273376288379109,1975595.0,0.0007187064365076
28.575001,76.9625,0.40000001,0.5912955774096351,212.0,0.8965841763223369,570368.0,0.0007187064365076
28.575001,76.975,0.40000001,0.5912955774096351,212.0,0.006198370625644,570368.0,0.0007187064365076
28.575001,76.9875,0.40000001,0.5912955774096351,212.0,0.0,570368.0,0.0007187064365076
