lon,lat
28.7875,77.1625
28.7875,77.175
28.7875,77.1875
28.7875,77.2
28.7875,77.2125
28.7875,77.225
28.7875,77.2375
28.7875,77.25
28.8,76.85
28.8,76.8625
28.8,76.875
28.8,76.8875
28.8,76.9
28.8,76.9125
28.8,76.925
28.8,76.9375
28.8,76.95
28.8,76.9625
28.8,76.975
28.8,76.9875
28.8,77.0
28.8,77.0125
28.8,77.025
28.8,77.0375
28.8,77.05
28.8,77.0625
28.8,77.075
28.8,77.0875
28.8,77.1
28.8,77.1125
28.8,77.125
28.8,77.1375
28.8,77.15
28.8,77.1625
28.8,77.175
28.8,77.1875
28.8,77.2
28.8,77.2125
28.8,77.225
28.8,77.2375
28.8,77.25
28.8125,76.85
28.8125,76.8625
28.8125,76.875
28.8125,76.8875
28.8125,76.9
28.8125,76.9125
28.8125,76.925
28.8125,76.9375
28.8125,76.95
28.8125,76.9625
28.8125,76.975
28.8125,76.9875
28.8125,77.0
28.8125,77.0125
28.8125,77.025
28.8125,77.0375
28.8125,77.05
28.8125,77.0625
28.8125,77.075
28.8125,77.0875
28.8125,77.1
28.8125,77.1125
28.8125,77.125
28.8125,77.1375
28.8125,77.15
28.8125,77.1625
28.8125,77.175
28.8125,77.1875
28.8125,77.2
28.8125,77.2125
28.8125,77.225
28.8125,77.2375
28.8125,77.25
28.825,76.85
28.825,76.8625
28.825,76.875
28.825,76.8875
28.825,76.9
28.825,76.9125
28.825,76.925
28.825,76.9375
28.825,76.95
28.825,76.9625
28.825,76.975
28.825,76.9875
28.825,77.0
28.825,77.0125
28.825,77.025
28.825,77.0375
28.825,77.05
28.825,77.0625
28.825,77.075
28.825,77.0875
28.825,77.1
28.825,77.1125
28.825,77.125
28.825,77.1375
28.825,77.15
28.825,77.1625
28.825,77.175
28.825,77.1875
28.825,77.2
28.825,77.2125
28.825,77.225
28.825,77.2375
28.825,77.25
28.8375,76.85
28.8375,76.8625
28.8375,76.875
28.8375,76.8875
28.8375,76.9
28.8375,76.9125
28.8375,76.925
28.8375,76.9375
28.8375,76.95
28.8375,76.9625
28.8375,76.975
28.8375,76.9875
28.8375,77.0
28.8375,77.0125
28.8375,77.025
28.8375,77.0375
28.8375,77.05
28.8375,77.0625
28.8375,77.075
28.8375,77.0875
28.8375,77.1
28.8375,77.1125
28.8375,77.125
28.8375,77.1375
28.8375,77.15
28.8375,77.1625
28.8375,77.175
28.8375,77.1875
28.8375,77.2
28.8375,77.2125
28.8375,77.225
28.8375,77.2375
28.8375,77.25
28.85,76.85
28.85,76.8625
28.85,76.875
28.85,76.8875
28.85,76.9
28.85,76.9125
28.85,76.925
28.85,76.9375
28.85,76.95
28.85,76.9625
28.85,76.975
28.85,76.9875
28.85,77.0
28.85,77.0125
28.85,77.025
28.85,77.0375
28.85,77.05
28.85,77.0625
28.85,77.075
28.85,77.0875
28.85,77.1
28.85,77.1125
28.85,77.125
28.85,77.1375
28.85,77.15
28.85,77.1625
28.85,77.175
28.85,77.1875
28.85,77.2
28.85,77.2125
28.85,77.225
28.85,77.2375
28.85,77.25
